Provinsi,Kabupaten,Nama SKPD,Jenis Barang,Kode Barang,No,Tanggal Beli,Nama Barang,Satuan,Jumlah,Harga,Total Harga
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,475,23.,2017-11-03,Amlodipin 10 mg,Tablet,66000,107,7062000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,699,24.,2017-11-13,Amlodipin 5 mg,Tablet,69675,91,6340425
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,711,25.,2017-05-21,Amoksisilin Kapsul 250 mg,Kapsul,1991,220,438020
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,711,26.,2017-11-30,Amoksisilin Kapsul 250 mg,Kapsul,9600,191,1833600
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,2505,27.,2017-01-03,Amoksisilin kaplet 500 mg,kaplet,24735,279,6901065
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,2505,28.,2017-01-03,Amoksisilin kaplet 500 mg,kaplet,2365,279,659835
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,2505,29.,2017-01-03,Amoksisilin kaplet 500 mg,kaplet,687,279,191673
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,2505,30.,2017-01-03,Amoksisilin kaplet 500 mg,kaplet,400,279,111600
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,2505,31.,2017-10-02,Amoksisilin kaplet 500 mg,kaplet,139700,191,26682700
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,2505,32.,2017-11-03,Amoksisilin kaplet 500 mg,kaplet,300,191,57300
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,771,33.,2017-01-03,Amoksisilin syrup kering  Forte 250 mg/5 ml,Botol,253,4147,1049191
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,750,34.,2017-10-03,Amoksisilin syrup kering 125 mg/5 ml,Botol,3154,1920,6055680
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,750,35.,2017-10-16,Amoksisilin syrup kering 125 mg/5 ml,Botol,1000,1920,1920000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,2519,36.,2017-01-03,Ampisilin Kaplet 500 mg,kaplet,311,419,130309
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,2519,37.,2017-01-03,Ampisilin Kaplet 500 mg,kaplet,2500,419,1047500
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,2519,38.,2017-01-03,Ampisilin Kaplet 500 mg,kaplet,5500,419,2304500
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,2519,39.,2017-01-03,Ampisilin Kaplet 500 mg,kaplet,124,419,51956
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,825,40.,2017-01-03,Ampisilin serbuk injeksi 1.000 mg,Vial,81,5610,454410
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,872,41.,2017-01-03,Ampisilin syrup 125 mg/5 ml,Botol,46,9000,414000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,872,42.,2017-01-03,Ampisilin syrup 125 mg/5 ml,Botol,250,4840,1210000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,937,43.,2017-01-03,Antasida DOEN Suspensi komb. Aluminium Hidroksida 200 mg/5 ml + Magnesium Hidroksida 200 mg/5 ml,Botol,2,2300,4600
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,927,44.,2017-01-03,Antasida DOEN Tablet Kunyah komb. Aluminium Hidroksida 200 mg + Magnesium Hidroksida 200 mg,Tablet,159557,64,10211648
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,2482,45.,2017-01-03,AntiFungi DOEN kombinasi: Asam Benzoat 6% + Asam Salisilat 3%,Pot,10,2749,27490
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,2482,46.,2017-01-03,AntiFungi DOEN kombinasi: Asam Benzoat 6% + Asam Salisilat 3%,Pot,143,4782,683826
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,2482,47.,2017-01-03,AntiFungi DOEN kombinasi: Asam Benzoat 6% + Asam Salisilat 3%,Pot,1,4784,4784
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,2482,48.,2017-09-18,AntiFungi DOEN kombinasi: Asam Benzoat 6% + Asam Salisilat 3%,Pot,48,4972,238656
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,941,49.,2017-05-21,Antibakteri DOEN komb. Basitrasin 500 iu/g + Polimiksin B 10.000 iu/g,Tube,57,2767,157719
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,941,50.,2017-12-11,Antibakteri DOEN komb. Basitrasin 500 iu/g + Polimiksin B 10.000 iu/g,Tube,50,2767,138350
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,941,51.,2017-12-11,Antibakteri DOEN komb. Basitrasin 500 iu/g + Polimiksin B 10.000 iu/g,Tube,50,3365,168250
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,5055,52.,2017-01-03,"Antihemoroid komb : bismut subgalat 150 mg + heksaklorofen 2,5 mg + lidokain 10 mg + Seng Oksida 120 mg",Suppo,1510,3502,5288020
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,948,53.,2017-01-03,Antimigren komb. Ergotamin Tartrat 1 mg + Caffein 50 mg,Tablet,40,149,5960
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,951,54.,2017-01-03,Aqua Pro injeksi steril,Vial,653,2750,1795750
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,951,55.,2017-10-25,Aqua Pro injeksi steril,Vial,500,2750,1375000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,960,56.,2017-01-03,Asam Asetilsalisilat 100 mg,Tablet,1555,127,197485
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,960,57.,2017-01-03,Asam Asetilsalisilat 100 mg,Tablet,180,127,22860
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,491,58.,2017-01-03,Asam Askorbat (vitamin C) 50 mg,Tablet,55047,45,2477115
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,491,59.,2017-11-03,Asam Askorbat (vitamin C) 50 mg,Tablet,100000,120,12000000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,497,60.,2017-09-18,Asam Folat 1 mg,Tablet,208,77,16016
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,511,61.,2017-01-03,Asam Mefenamat 500 mg,Kapsul,104079,113,11760927
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,511,62.,2017-11-30,Asam Mefenamat 500 mg,Kapsul,200000,102,20400000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,536,63.,2017-01-03,Asam Traneksamat 500 mg,Tablet,216,1045,225720
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,536,64.,2017-01-03,Asam Traneksamat 500 mg,Tablet,111,1760,195360
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,536,65.,2017-11-30,Asam Traneksamat 500 mg,Tablet,3000,1770,5310000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,523,66.,2017-01-03,Asam Traneksamat inj 50 mg/ml (250 mg/5 ml) / Kalnex Inj,Ampul,60,3200,192000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,523,67.,2017-11-30,Asam Traneksamat inj 50 mg/ml (250 mg/5 ml) / Kalnex Inj,Ampul,50,5690,284500
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,481,68.,2017-01-03,Asam askorbat (vitamin C) 100 mg,Tablet,700,106,74200
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,556,69.,2017-01-03,Asiklovir 200 mg,Tablet,633,272,172176
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,556,70.,2017-01-03,Asiklovir 200 mg,Tablet,8968,245,2197160
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,556,71.,2017-10-03,Asiklovir 200 mg,Tablet,5000,259,1295000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,565,72.,2017-02-09,Asiklovir 400 mg,Tablet,1664,370,615680
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,565,73.,2017-10-03,Asiklovir 400 mg,Tablet,12500,415,5187500
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,565,74.,2017-10-16,Asiklovir 400 mg,Tablet,1,3957,3957
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,565,75.,2017-10-16,Asiklovir 400 mg,Tablet,7499,207,1552293
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,549,76.,2017-01-03,Asiklovir krim 5 %,Tube,133,3150,418950
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,549,77.,2017-01-03,Asiklovir krim 5 %,Tube,34,3450,117300
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,549,78.,2017-09-19,Asiklovir krim 5 %,Tube,250,3465,866250
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,549,79.,2017-11-30,Asiklovir krim 5 %,Tube,900,3447,3102300
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,572,80.,2017-01-03,"Atropin inj 0,5 mg/ml",ampul,9,1353,12177
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,572,81.,2017-08-02,"Atropin inj 0,5 mg/ml",ampul,100,1540,154000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,486,82.,2017-01-03,Attapulgit 600 mg (Pularex / New Antides ),Tablet,10137,173,1753701
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,486,83.,2017-01-03,Attapulgit 600 mg (Pularex / New Antides ),Tablet,100,220,22000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,486,84.,2017-11-02,Attapulgit 600 mg (Pularex / New Antides ),Tablet,12500,166,2075000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,5060,85.,2017-07-04,BCG,Vial,49,54500,2670500
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,5060,86.,2017-09-06,BCG,Vial,100,59950,5995000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,5060,87.,2017-10-13,BCG,Vial,100,59950,5995000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,5060,88.,2017-12-08,BCG,Vial,200,59950,11990000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,499,89.,2017-01-03,Bedak Salisil Serbuk 2 %,Bungkus,8,1350,10800
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,499,90.,2017-01-03,Bedak Salisil Serbuk 2 %,Bungkus,33,1350,44550
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,499,91.,2017-11-30,Bedak Salisil Serbuk 2 %,Bungkus,2000,1071,2142000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,499,92.,2017-12-11,Bedak Salisil Serbuk 2 %,Bungkus,400,7200,2880000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,518,93.,2017-01-03,"Besi II Sulfat 200 mg + Asam Folat 0,25 mg (Tablet Tambah Darah)",Tablet,25894,55,1424170
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,518,94.,2017-11-09,"Besi II Sulfat 200 mg + Asam Folat 0,25 mg (Tablet Tambah Darah)",Tablet,17774,0,0
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,525,95.,2017-10-16,Betahistin Mesilat 6 mg,Tablet,4694,151,708794
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,525,96.,2017-11-27,Betahistin Mesilat 6 mg,Tablet,10019,151,1512869
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,525,97.,2017-11-27,Betahistin Mesilat 6 mg,Tablet,1,131,131
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,535,98.,2017-10-16,"Betametason Krim 0,1 % / Skizon krim 0,5mg/g",Tube,1323,1450,1918350
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,535,99.,2017-11-30,"Betametason Krim 0,1 % / Skizon krim 0,5mg/g",Tube,2125,3388,7199500
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,584,100.,2017-01-03,Bisakodil Tablet 5 mg ( Melaxan / Laxana ),Tablet,1704,375,639000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,584,101.,2017-01-03,Bisakodil Tablet 5 mg ( Melaxan / Laxana ),Tablet,29,300,8700
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,584,102.,2017-09-29,Bisakodil Tablet 5 mg ( Melaxan / Laxana ),Tablet,510,317,161670
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,560,103.,2017-01-03,Bisakodil suppositoria 10 mg (Dulcolax/Stolax),Suppo,257,5800,1490600
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,571,104.,2017-01-03,Bisakodil suppositoria 5 mg (Dulcolax),Suppo,620,5670,3515400
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,5144,105.,2017-08-15,CAMPAK 10 DOSE,Vial,67,28204,1889668
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,5144,106.,2017-10-13,CAMPAK 10 DOSE,Vial,200,28204,5640800
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,5144,107.,2017-12-08,CAMPAK 10 DOSE,Vial,200,28204,5640800
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,520,108.,2017-01-03,Calcii Glokunas 100mg/ml inj,ampul,27,7800,210600
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,520,109.,2017-01-03,Calcii Glokunas 100mg/ml inj,ampul,120,9955,1194600
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,520,110.,2017-08-02,Calcii Glokunas 100mg/ml inj,ampul,96,9955,955680
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,507,111.,2017-11-30,Cetirizine 10 mg,Kapsul,18000,360,6480000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,495,112.,2017-08-10,Cetirizine syrup 5 mg/5 ml,Botol,1098,3300,3623400
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,538,113.,2017-01-03,Curcuma Tablet,Tablet,72,795,57240
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,538,114.,2017-01-03,Curcuma Tablet,Tablet,450,795,357750
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,538,115.,2017-12-11,Curcuma Tablet,Tablet,25000,570,14250000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,5140,116.,2017-10-13,DPT-HBHib,Vial,324,76285,24716340
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,5140,117.,2017-12-08,DPT-HBHib,Vial,200,76285,15257000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,5150,118.,2017-10-13,DT,Vial,131,16412,2149972
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,568,119.,2017-01-03,Daryant-Tulle,lembar,5,20620,103100
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,601,120.,2017-06-21,Deksametason inj 5 mg/ml,Ampul,631,1805,1138955
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,611,121.,2017-08-29,"Deksametason tablet 0,5 mg",Tablet,84427,45,3799215
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,611,122.,2017-11-06,"Deksametason tablet 0,5 mg",Tablet,35000,45,1575000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,653,123.,2017-01-03,Diazepam inj 5 mg / ml,ampul,116,2578,299048
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,653,124.,2017-01-03,Diazepam inj 5 mg / ml,ampul,36,2578,92808
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,5223,125.,2017-11-30,"Diazepam larutan rectal 10 mg/2,5 ml (Stesolid)",Tube,40,19378,775120
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,2588,126.,2017-11-30,"Diazepam larutan rectal 5 mg/2,5 ml (Stesolid)",Tube,20,13384,267680
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,2592,127.,2017-02-09,Diazepam tablet 2 mg,Tablet,45,46,2070
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,2592,128.,2017-11-30,Diazepam tablet 2 mg,Tablet,4000,37,148000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,2595,129.,2017-12-11,Diazepam tablet 5 mg,Tablet,1428,105,149940
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,706,130.,2017-07-13,Dietilkarbamazin sitrat 100 mg,Tablet,75486,119,8982834
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,744,131.,2017-01-03,Difenhidramin inj 10 mg/ml,ampul,268,1355,363140
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,754,132.,2017-01-03,"Digoksin 0,25 mg",Tablet,1177,108,127116
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,717,133.,2017-10-02,Diltiazem 30 mg,Tablet,2845,143,406835
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,768,134.,2017-10-02,Dimenhidrinat 50 mg,Tablet,927,114,105678
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,779,135.,2017-01-03,Doksisiklin 100 mg,Kapsul,68,209,14212
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,779,136.,2017-01-03,Doksisiklin 100 mg,Kapsul,32,209,6688
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,779,137.,2017-01-03,Doksisiklin 100 mg,Kapsul,1500,309,463500
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,786,138.,2017-08-29,Domperidone 10 mg,Tablet,21826,116,2531816
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,786,139.,2017-11-23,Domperidone 10 mg,Tablet,7500,116,870000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,799,140.,2017-01-03,Domperindon suspensi 5 mg/5 ml,Botol,123,3180,391140
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,799,141.,2017-11-30,Domperindon suspensi 5 mg/5 ml,Botol,1500,4314,6471000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,830,142.,2017-01-03,Efedrin 25 mg,Tablet,8096,56,453376
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,830,143.,2017-01-03,Efedrin 25 mg,Tablet,1213,56,67928
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,830,144.,2017-01-03,Efedrin 25 mg,Tablet,417,56,23352
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,846,145.,2017-01-03,"Epinefrin (Adrenalin) inj 0,1 % (sbg HCI)",ampul,177,2354,416658
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,846,146.,2017-01-03,"Epinefrin (Adrenalin) inj 0,1 % (sbg HCI)",ampul,10,8910,89100
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,846,147.,2017-01-03,"Epinefrin (Adrenalin) inj 0,1 % (sbg HCI)",ampul,20,8910,178200
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,846,148.,2017-08-02,"Epinefrin (Adrenalin) inj 0,1 % (sbg HCI)",ampul,300,1848,554400
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,846,149.,2017-09-12,"Epinefrin (Adrenalin) inj 0,1 % (sbg HCI)",ampul,30,0,0
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,853,150.,2017-01-03,Eritromisin 250 mg,Kapsul,891,509,453519
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,853,151.,2017-01-03,Eritromisin 250 mg,Kapsul,40,509,20360
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,853,152.,2017-01-03,Eritromisin 250 mg,Kapsul,100,509,50900
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,853,153.,2017-01-03,Eritromisin 250 mg,Kapsul,500,651,325500
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,853,154.,2017-11-13,Eritromisin 250 mg,Kapsul,500,647,323500
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,857,155.,2017-01-03,Eritromisin 500 mg,Kapsul,918,912,837216
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,857,156.,2017-11-30,Eritromisin 500 mg,Kapsul,3500,766,2681000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,478,157.,2017-01-03,"Etakridin larutan 0,1 % (Rivanol)",Botol,46,5300,243800
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,478,158.,2017-01-03,"Etakridin larutan 0,1 % (Rivanol)",Botol,6,2354,14124
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,823,159.,2017-01-03,Etambutol 500 mg,Tablet,10,466,4660
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,480,160.,2017-01-03,Etanol 70 % 100 ml,Botol,661,2625,1735125
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,480,161.,2017-01-03,Etanol 70 % 100 ml,Botol,9,2625,23625
