SKPD,DINAS KESEHATANANY,,,,,,,,,,
Jenis Barang,"Bahan Obat-Obatan,Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis Pakai,Bahan LaboratoriumANY",,,,,,,,,,
Nama Barang,ANY,,,,,,,,,,
,,,,,,,,,,,
Provinsi,Kabupaten,Nama SKPD,Jenis Barang,Kode Barang,No,Tanggal Beli,Nama Barang,Satuan,Jumlah,Harga,Total Harga
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,2505,39.,2020-01-03,Amoksisilin kaplet 500 mg,kaplet,72500,265,19212500
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,2505,40.,2020-07-02,Amoksisilin kaplet 500 mg,kaplet,150000,265,39750000
,,,,,,,,,Total:231.978,,Total:61.474.170
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,771,41.,2020-01-03,Amoksisilin syrup kering  Forte 250 mg/5 ml,Botol,2490,3846,9576540
,,,,,,,,,Total:2.490,,Total:9.576.540
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,750,42.,2020-01-03,Amoksisilin syrup kering 125 mg/5 ml,Botol,599,5280,3162720
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,750,43.,2020-01-03,Amoksisilin syrup kering 125 mg/5 ml,Botol,2000,4444,8888000
,,,,,,,,,Total:2.599,,Total:12.050.720
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,937,44.,2020-01-03,Antasida DOEN Suspensi komb. Aluminium Hidroksida 200 mg/5 ml + Magnesium Hidroksida 200 mg/5 ml,Botol,1192,2239,2668888
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,937,45.,2020-08-05,Antasida DOEN Suspensi komb. Aluminium Hidroksida 200 mg/5 ml + Magnesium Hidroksida 200 mg/5 ml,Botol,3000,2239,6717000
,,,,,,,,,Total:4.192,,Total:9.385.888
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,927,46.,2020-01-03,Antasida DOEN Tablet Kunyah komb. Aluminium Hidroksida 200 mg + Magnesium Hidroksida 200 mg,Tablet,76766,60,4605960
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,927,47.,2020-06-26,Antasida DOEN Tablet Kunyah komb. Aluminium Hidroksida 200 mg + Magnesium Hidroksida 200 mg,Tablet,90000,60,5400000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,927,48.,2020-09-11,Antasida DOEN Tablet Kunyah komb. Aluminium Hidroksida 200 mg + Magnesium Hidroksida 200 mg,Tablet,60000,60,3600000
,,,,,,,,,Total:226.766,,Total:13.605.960
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,2482,49.,2020-01-03,AntiFungi DOEN kombinasi: Asam Benzoat 6% + Asam Salisilat 3%,Pot,46,4972,228712
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,2482,50.,2020-08-05,AntiFungi DOEN kombinasi: Asam Benzoat 6% + Asam Salisilat 3%,Pot,72,5517,397224
,,,,,,,,,Total:118,,Total:625.936
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,941,51.,2020-01-03,Antibakteri DOEN komb. Basitrasin 500 iu/g + Polimiksin B 10.000 iu/g,Tube,412,3490,1437880
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,941,52.,2020-01-03,Antibakteri DOEN komb. Basitrasin 500 iu/g + Polimiksin B 10.000 iu/g,Tube,150,3490,523500
,,,,,,,,,Total:562,,Total:1.961.380
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,5055,53.,2020-01-03,"Antihemoroid komb : bismut subgalat 150 mg + heksaklorofen 2,5 mg + lidokain 10 mg + Seng Oksida 120 mg",Suppo,78,3642,284076
,,,,,,,,,Total:78,,Total:284.076
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,948,54.,2020-08-18,Antimigren komb. Ergotamin Tartrat 1 mg + Caffein 50 mg,Tablet,570,212,120840
,,,,,,,,,Total:570,,Total:120.840
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,951,55.,2020-01-03,Aqua Pro injeksi steril,Vial,1491,2860,4264260
,,,,,,,,,Total:1.491,,Total:4.264.260
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,958,56.,2020-01-03,Artesunate inj.,ampul,4,52350,209400
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,958,57.,2020-01-03,Artesunate inj.,ampul,10,52350,523500
,,,,,,,,,Total:14,,Total:732.900
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,16583,58.,2020-11-04,Asam Askorbat (Vit C) 500 mg,Tablet,197500,198,39105000
,,,,,,,,,Total:197.500,,Total:39.105.000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,491,59.,2020-01-03,Asam Askorbat (vitamin C) 50 mg,Tablet,64342,120,7721040
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,491,60.,2020-01-03,Asam Askorbat (vitamin C) 50 mg,Tablet,100,120,12000
,,,,,,,,,Total:64.442,,Total:7.733.040
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,497,61.,2020-08-05,Asam Folat 1 mg,Tablet,17610,86,1514460
,,,,,,,,,Total:17.610,,Total:1.514.460
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,511,62.,2020-01-03,Asam Mefenamat 500 mg,Kapsul,852,381,324612
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,511,63.,2020-01-03,Asam Mefenamat 500 mg,Kapsul,1,35381,35381
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,511,64.,2020-04-03,Asam Mefenamat 500 mg,Kapsul,1,13969,13969
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,511,65.,2020-04-03,Asam Mefenamat 500 mg,Kapsul,13999,249,3485751
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,511,66.,2020-12-10,Asam Mefenamat 500 mg,Kapsul,30000,554,16620000
,,,,,,,,,Total:44.853,,Total:20.479.713
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,536,67.,2020-01-03,Asam Traneksamat 500 mg,Tablet,625,1784,1115000
,,,,,,,,,Total:625,,Total:1.115.000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,523,68.,2020-01-03,Asam Traneksamat inj 50 mg/ml (250 mg/5 ml) / Kalnex Inj,Ampul,50,5690,284500
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,523,69.,2020-01-03,Asam Traneksamat inj 50 mg/ml (250 mg/5 ml) / Kalnex Inj,Ampul,10,1813,18130
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,523,70.,2020-08-25,Asam Traneksamat inj 50 mg/ml (250 mg/5 ml) / Kalnex Inj,Ampul,50,1813,90650
,,,,,,,,,Total:110,,Total:393.280
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,16907,71.,2020-12-04,Asetilsistein 200 mg,Tablet,300,440,132000
,,,,,,,,,Total:300,,Total:132.000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,556,72.,2020-01-03,Asiklovir 200 mg,Tablet,3813,259,987567
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,556,73.,2020-01-03,Asiklovir 200 mg,Tablet,5000,236,1180000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,556,74.,2020-01-03,Asiklovir 200 mg,Tablet,5000,236,1180000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,556,75.,2020-03-30,Asiklovir 200 mg,Tablet,200,0,0
,,,,,,,,,Total:14.013,,Total:3.347.567
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,565,76.,2020-01-03,Asiklovir 400 mg,Tablet,1760,425,748000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,565,77.,2020-01-03,Asiklovir 400 mg,Tablet,5000,454,2270000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,565,78.,2020-03-30,Asiklovir 400 mg,Tablet,100,0,0
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,565,79.,2020-09-23,Asiklovir 400 mg,Tablet,20000,454,9080000
,,,,,,,,,Total:26.860,,Total:12.098.000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,549,80.,2020-01-03,Asiklovir krim 5 %,Tube,33,4775,157575
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,549,81.,2020-04-03,Asiklovir krim 5 %,Tube,100,3461,346100
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,549,82.,2020-12-10,Asiklovir krim 5 %,Tube,400,4478,1791200
,,,,,,,,,Total:533,,Total:2.294.875
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,572,83.,2020-01-03,"Atropin inj 0,5 mg/ml",ampul,24,1540,36960
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,572,84.,2020-01-03,"Atropin inj 0,5 mg/ml",ampul,100,1859,185900
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,572,85.,2020-12-08,"Atropin inj 0,5 mg/ml",ampul,100,1859,185900
,,,,,,,,,Total:224,,Total:408.760
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,486,86.,2020-01-03,Attapulgit 600 mg (Pularex / New Antides ),Tablet,6964,149,1037636
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,486,87.,2020-07-30,Attapulgit 600 mg (Pularex / New Antides ),Tablet,15000,187,2805000
,,,,,,,,,Total:21.964,,Total:3.842.636
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,16071,88.,2020-08-19,Azithromisin 500 mg,Tablet,113,1888,213344
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,16071,89.,2020-09-01,Azithromisin 500 mg,Tablet,200,1888,377600
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,16071,90.,2020-09-16,Azithromisin 500 mg,Tablet,100,1888,188800
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,16071,91.,2020-12-08,Azithromisin 500 mg,Tablet,200,1888,377600
,,,,,,,,,Total:613,,Total:1.157.344
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,5060,92.,2020-09-23,BCG,Vial,59,66154,3903086
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,5060,93.,2020-11-16,BCG,Vial,200,66154,13230800
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,5060,94.,2020-12-23,BCG,Vial,200,66154,13230800
,,,,,,,,,Total:459,,Total:30.364.686
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,499,95.,2020-01-03,Bedak Salisil Serbuk 2 %,Bungkus,153,6578,1006434
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,499,96.,2020-12-10,Bedak Salisil Serbuk 2 %,Bungkus,400,6426,2570400
,,,,,,,,,Total:553,,Total:3.576.834
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,525,97.,2020-01-03,Betahistin Mesilat 6 mg,Tablet,14370,119,1710030
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,525,98.,2020-01-03,Betahistin Mesilat 6 mg,Tablet,15000,119,1785000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,525,99.,2020-08-25,Betahistin Mesilat 6 mg,Tablet,7000,119,833000
,,,,,,,,,Total:36.370,,Total:4.328.030
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,535,100.,2020-01-03,"Betametason Krim 0,1 % / Skizon krim 0,5mg/g",Tube,289,1373,396797
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,535,101.,2020-01-03,"Betametason Krim 0,1 % / Skizon krim 0,5mg/g",Tube,500,3350,1675000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,535,102.,2020-07-21,"Betametason Krim 0,1 % / Skizon krim 0,5mg/g",Tube,750,1465,1098750
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,535,103.,2020-10-05,"Betametason Krim 0,1 % / Skizon krim 0,5mg/g",Tube,1500,1465,2197500
,,,,,,,,,Total:3.039,,Total:5.368.047
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,584,104.,2020-08-05,Bisakodil Tablet 5 mg ( Melaxan / Laxana ),Tablet,3270,337,1101990
,,,,,,,,,Total:3.270,,Total:1.101.990
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,560,105.,2020-01-03,Bisakodil suppositoria 10 mg (Dulcolax/Stolax),Suppo,79,5900,466100
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,560,106.,2020-01-03,Bisakodil suppositoria 10 mg (Dulcolax/Stolax),Suppo,250,5900,1475000
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,560,107.,2020-12-08,Bisakodil suppositoria 10 mg (Dulcolax/Stolax),Suppo,100,5900,590000
,,,,,,,,,Total:429,,Total:2.531.100
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,520,108.,2020-01-03,Calcii Glokunas 100mg/ml inj,ampul,49,9955,487795
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,520,109.,2020-01-03,Calcii Glokunas 100mg/ml inj,ampul,24,9955,238920
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,520,110.,2020-01-03,Calcii Glokunas 100mg/ml inj,ampul,120,10351,1242120
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,520,111.,2020-12-08,Calcii Glokunas 100mg/ml inj,ampul,72,10351,745272
,,,,,,,,,Total:265,,Total:2.714.107
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,507,112.,2020-01-03,Cetirizine 10 mg,Kapsul,29154,104,3032016
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,507,113.,2020-01-03,Cetirizine 10 mg,Kapsul,6000,97,582000
,,,,,,,,,Total:35.154,,Total:3.614.016
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,495,114.,2020-01-03,Cetirizine syrup 5 mg/5 ml,Botol,1671,3061,5114931
,,,,,,,,,Total:1.671,,Total:5.114.931
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,12742,115.,2020-01-03,Clozapine / Klozapin 100 mg,Tablet,58,3622,210076
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,12742,116.,2020-07-16,Clozapine / Klozapin 100 mg,Tablet,6500,3622,23543000
,,,,,,,,,Total:6.558,,Total:23.753.076
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,12741,117.,2020-01-03,Clozapine / Klozapin 25 mg,Tablet,4540,1121,5089340
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,12741,118.,2020-07-16,Clozapine / Klozapin 25 mg,Tablet,3500,1121,3923500
,,,,,,,,,Total:8.040,,Total:9.012.840
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,2756,119.,2020-07-29,"Combivent UDV-kombinasi: Ipratropium bromide 0,5mg Salbutamol 2,5 mg cairan inhalasi",Vial,498,4550,2265900
,,,,,,,,,Total:498,,Total:2.265.900
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,538,120.,2020-01-03,Curcuma Tablet,Tablet,5199,598,3109002
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,538,121.,2020-01-03,Curcuma Tablet,Tablet,1,14848,14848
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,538,122.,2020-12-10,Curcuma Tablet,Tablet,1,2062,2062
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,538,123.,2020-12-10,Curcuma Tablet,Tablet,9999,862,8619138
,,,,,,,,,Total:15.200,,Total:11.745.050
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,5140,124.,2020-11-16,DPT-HBHib,Vial,191,84282,16097862
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,5140,125.,2020-12-23,DPT-HBHib,Vial,300,84282,25284600
,,,,,,,,,Total:491,,Total:41.382.462
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,5150,126.,2020-10-16,DT,Vial,92,17450,1605400
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,5150,127.,2020-12-01,DT,Vial,15,0,0
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,5150,128.,2020-12-02,DT,Vial,18,0,0
,,,,,,,,,Total:125,,Total:1.605.400
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,601,129.,2020-01-03,Deksametason inj 5 mg/ml,Ampul,66,1210,79860
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,601,130.,2020-08-12,Deksametason inj 5 mg/ml,Ampul,150,1210,181500
,,,,,,,,,Total:216,,Total:261.360
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,611,131.,2020-01-03,"Deksametason tablet 0,5 mg",Tablet,22930,88,2017840
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,611,132.,2020-01-03,"Deksametason tablet 0,5 mg",Tablet,1,16588,16588
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,611,133.,2020-03-30,"Deksametason tablet 0,5 mg",Tablet,100,0,0
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,611,134.,2020-12-10,"Deksametason tablet 0,5 mg",Tablet,1,1336,1336
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,611,135.,2020-12-10,"Deksametason tablet 0,5 mg",Tablet,19999,136,2719864
,,,,,,,,,Total:43.031,,Total:4.755.628
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,653,136.,2020-01-03,Diazepam inj 5 mg / ml,ampul,34,1913,65042
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,653,137.,2020-05-15,Diazepam inj 5 mg / ml,ampul,90,1735,156150
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,653,138.,2020-05-15,Diazepam inj 5 mg / ml,ampul,50,1913,95650
,,,,,,,,,Total:174,,Total:316.842
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,5223,139.,2020-01-03,"Diazepam larutan rectal 10 mg/2,5 ml (Stesolid)",Tube,40,21021,840840
Kalimantan Selatan,Balangan,DINAS KESEHATAN,Bahan Obat-Obatan,5223,140.,2020-07-22,"Diazepam larutan rectal 10 mg/2,5 ml (Stesolid)",Tube,40,21021,840840
,,,,,,,,,Total:80,,Total:1.681.680
