"SKPD","BLUD RUMAH SAKIT UMUM DAERAHANY"
"SUB SKPD","RSUD Apotek InapANY"
"Jenis Barang","Bahan Obat-Obatan,Bahan Habis Pakai Alat Medik / Bahan dan Alat Kesehatan Habis PakaiANY"

"Provinsi","Kabupaten","SKPD","Nama Sub Skpd","Jenis Barang","No","Kode Barang","Nama Barang","Satuan","Total Saldo Barang","Total Harga",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","59.","3989","Citicoline inj 250 mg/2 ml","Ampul","163","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","60.","3971","Citicoline inj 500 mg/4 ml","ampul","200","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","61.","3834","Conver 2 % 15 ML","Botol","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","62.","538","Curcuma Tablet","Tablet","800","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","63.","2626","D5% INFUS","Botol","100","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","64.","2635","DOBUTAMIN GIULINI 50 ML","Ampul","12","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","65.","2638","DULCOLACTOL SYR 60ML","Botol","33","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","66.","601","Deksametason inj 5 mg/ml","Ampul","280","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","67.","611","Deksametason tablet 0,5 mg","Tablet","800","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","68.","3815","Diagit","Tablet","300","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","69.","754","Digoksin 0,25 mg","Tablet","480","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","70.","8184","Dipenhidramin Inj","ampul","40","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","71.","786","Domperidone 10 mg","Tablet","400","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","72.","13314","Domperidone Syr 60 ml","Botol","57","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","73.","3877","Dopamet Tab","Tablet","500","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","74.","3969","Dopamin giulini 200 mg inj","Ampul","19","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","75.","11239","Eperisone HCL 50 mg","Tablet","200","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","76.","823","Etambutol 500 mg","Tablet","200","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","77.","2646","FG TROCHES TAB","Tablet","218","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","78.","2647","FLAMAR ED 2","Botol","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","79.","2649","FORUMEN EAR DROP","Botol","11","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","80.","502","Fenitoin Na injeksi 50 mg/ml","Ampul","80","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","81.","3960","Fenofibrate Kaps 300 MG","Kapsul","360","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","82.","567","Fitomenadion (Vitamin K) injeksi 2 mg/ml / Vitka Infant","ampul","60","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","83.","599","Furosemid inj 10 mg/ml","ampul","350","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","84.","603","Furosemid tablet 40 mg","Tablet","2100","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","85.","2654","GABAPENTIN","Tablet","300","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","86.","2655","GASTRUL","Tablet","330","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","87.","2659","GELAFUSAL INF","Botol","15","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","88.","2664","GITAS PLUS TAB 2","Tablet","50","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","89.","2667","GLAUSETA","Tablet","200","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","90.","614","Garam Oralit","Sachset","131","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","91.","607","Gemfibrozil 300 mg","Kapsul","240","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","92.","12537","Genoint TM 0,3% 5 ml","Botol","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","93.","3965","Genoint sk 15 gr","Kaleng","23","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","94.","3900","Gentamicin INJ 40 MG","Ampul","110","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","95.","2660","Gentamisin Salep Mata 0,3% / GENOINT","Tube","4","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","96.","570","Gentamisin Sulfat TM 0,3 %","Botol","27","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","97.","543","Glimepirid 1 mg","Tablet","250","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","98.","532","Glimepirid 2 mg","Tablet","300","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","99.","514","Glimepirid 3 mg","Tablet","200","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","100.","503","Glimepirid 4 mg","Tablet","200","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","101.","3892","Glucosamin Tab 250 MG","Tablet","60","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","102.","476","Glukosa larutan infus 10 %","Botol","120","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","103.","2672","HB VIT","Tablet","60","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","104.","2673","HYALOPH ED 2","Botol","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","105.","3772","Hidrocortisone 1% SK 5 Gr 2","Tube","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","106.","534","Hidrokortison krim 2,5 %","Tube","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","107.","3808","Human ALB Behring 20% 100 ML","Botol","16","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","108.","569","Ibuprofen sirup 100 mg/5 ml","Botol","53","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","109.","7999","Infus Salin 3 Otsu 3%","Botol","8","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","110.","3929","Inviclot Inj 5 ml 2","Vial","11","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","111.","619","Isoniazida 100 mg","Tablet","200","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","112.","629","Isosorbid Dinitrat tablet sublingual 5 mg","Tablet","400","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","113.","2688","KAEN 3B INFUS","Botol","20","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","114.","4149","KCL Inj","Ampul","21","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","115.","2691","KETOKONAZOLE 2% SK 10 G","Tube","1","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","116.","2696","KETOROLAC INJ 30MG","ampul","360","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","117.","649","Kalsium Laktat 500 mg","Tablet","200","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","118.","660","Kaptopril 12,5 mg","Tablet","1200","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","119.","665","Kaptopril 25 mg","Tablet","400","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","120.","477","Ketokonazol 200 mg","Tablet","200","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","121.","492","Klindamisin 300 mg","Kapsul","700","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","122.","505","Klopidogrel 75 mg","Tablet","90","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","123.","531","Kloramfenikol Salep Mata 1%","Tube","3","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","124.","589","Klorfeniramina maleat 4 mg","Tablet","276","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","125.","641","Kotrimoksazol Dewasa Tab Kombinasi","Tablet","160","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","126.","2729","L-bio sacchet 2","Sachset","90","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","127.","2733","L-zink syr","Botol","24","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","128.","671","Lanzoprazol 30 mg","Kapsul","360","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","129.","2724","Lapifed 60 ml syr 2","Botol","110","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","130.","2725","Lapifed 60 ml syr expectorant","Botol","26","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","131.","8022","Lapifed Tab","Tablet","100","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","132.","3747","Levemir Pen","pcs","29","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","133.","677","Levofloxacin 500 mg","Tablet","150","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","134.","3963","Levofloxacin INF 500 MG","Botol","31","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","135.","3894","Levofloxacin inf 750 mg","pcs","24","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","136.","684","Lidokain Inj 2%","Ampul","120","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","137.","766","Loratadin 10 mg","Tablet","100","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","138.","2738","MEROPENEM INJ 1GR","Ampul","8","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","139.","2744","METHYLPREDNISOLONE INJ 125MG","Ampul","288","0",
"Kalimantan Selatan","Balangan","BLUD RUMAH SAKIT UMUM DAERAH","RSUD Apotek Inap","Bahan Obat-Obatan","140.","777","Magnesium Sulfat 20%","Ampul","12","0",
